a	eɪ
aeksureul	iː k s ə ɹ uː l
aelbeom	eɪ l b ɪ ə m
aemaehago	iː m iː h eɪ ɡ əʊ
aemaehan	iː m iː h ə n
aemaemohohan	iː m iː m əʊ h əʊ h a n
aengkeo	iː ŋ k ɪ əʊ
aengkeonim	iː ŋ k ɪ ɒ n ɪ m
aengkeoui	iː ŋ k ɪ uː i
aeni	iː n i
aenseoni	iː n s ɪ əʊ n i
aepeul	iː p j uː l
aepeuri	iː p j uː ɹ i
aepeurui	iː p j uː ɹ uː i
aereul	eə ɹ uː l
aesseotseupnida	iː s ɪ ɒ t s j uː p n ɪ d ə
aesseuji	iː s j uː dʒ i
aesseujiman	iː s j uː dʒ ɪ m ə n
aesseumeuro	iː s j uː m j uː ɹ əʊ
aetaeuneun	iː t iː ʌ n j uː n
aewandongmulgwa	iː w ɐ n d ɒ ŋ m ʌ l ɡ w ə
aewandongmureul	iː w ɐ n d ɒ ŋ m j ʊə ɹ uː l
ageuremangeun	eɪ dʒ j uː ɹ ɛ m eɪ n dʒ j uː n
ageurikolraga	eɪ dʒ j uː ɹ ɪ k ə l ɹ ɑː ɡ ə
agi	ɑː ɡ ɪ
agiga	a dʒ ɪ ɡ ə
agineun	a dʒ ɪ n j uː n
agireul	a dʒ aɪə ɹ ʌ l
agora	a ɡ ɔː ɹ ə
agun	a ɡ ʌ n
agyonghaetda	a dʒ ɪ ɒ ŋ h iː t d ə
aheun	a h j uː n
ahop	a h ɒ p
ai	eɪ aɪ
aibaoui	eɪ b eɪ ɒ j uː i
aibirigeu	eɪ b ɪ ɹ aɪ dʒ uː
aideul	eɪ d j uː l
aideuldo	eɪ d j uː l d əʊ
aideulgwa	eɪ d j uː l ɡ w ə
aideure	eɪ d j uː ɹ ə
aideuregen	eɪ d j uː ɹ iː dʒ ə n
aideureul	eɪ d j uː ɹ uː l
aideureun	eɪ d j uː ɹ uː n
aideuri	eɪ d j uː ɹ i
aideurirang	eɪ d j uː ɹ ɜː ɹ a ŋ
aidireul	eɪ d aɪə ɹ ʌ l
aido	eɪ d əʊ
aidol	eɪ d ɒ l
aie	eɪ ə
aiegeseo	eɪ ə dʒ ɪ s eɪ əʊ
aiga	eɪ ɡ ə
ailraendeu	eɪ l ɹ iː n d j uː
ailraendeureul	eɪ l ɹ iː n d j uː ɹ uː l
aineun	eɪ n j uː n
ainyuseu	eɪ n j uː s j uː
aiowa	eɪ əʊ ə
aipin	eɪ p ɪ n
aipon	eɪ p ɒ n
aireonihagedo	eə ɹ ə n ɪ h ɐ dʒ iː d əʊ
aireul	eə ɹ ʌ l
aiseukeurim	eɪ z j uː k j uː ɹ ɪ m
aiseukeurimeul	eɪ z j uː k j uː ɹ aɪ m ʌ l
aitemeuro	eɪ t ɪ m j uː ɹ əʊ
aitemiraneun	eɪ t ɪ m ɜː ɹ ɐ n j uː n
aiui	eɪ j uː i
aiyeotda	eɪ j əʊ t d ə
ajamui	a dʒ ɐ m j uː i
ajeossido	eɪ dʒ ə s iː d əʊ
ajigeun	a dʒ aɪ dʒ ʌ n
ajik	a dʒ ɪ k
ajikdo	a dʒ ɪ k d əʊ
ajikkkaji	a dʒ ɪ k a dʒ i
aju	ɑː dʒ uː
ajumeoniga	a dʒ uː m ɪ ɒ n ɪ ɡ ə
ajumeonirago	a dʒ uː m ɪ ɒ n ə ɹ eɪ ɡ əʊ
akamai	a k ɐ m aɪ
akhwadoegi	a k h w ə d əʊ ɡ ɪ
akhwadoel	a k h w ə d əʊ l
akhwadoen	a k h w ə d əʊ n
akhwadwaetda	a k h w ə d w iː t d ə
akhwareul	a k h w eə ɹ ʌ l
akhwasikijineun	a k h w ə s ɪ k ɪ dʒ aɪ n ʌ n
aki	ɐ k i
akie	eɪ k i
akka	a k ə
akkapgo	a k a p ɡ əʊ
akkigo	a k ɪ ɡ əʊ
akkiji	a k ɪ dʒ i
akkineun	a k aɪ n ʌ n
akseong	a k s ɪ ɒ ŋ
aksunhwaneseo	a k s ə n h w ə n ɪ s eɪ əʊ
al	a l
albaniaeoreul	a l b eɪ n ɪ iː ɔː ɹ uː l
albereu	a l b ə ɹ uː
alge	a l dʒ
algesseo	a l dʒ ɪ s eɪ əʊ
algetgo	a l ɡ ɛ t ɡ əʊ
algetseupnida	a l ɡ ɪ t s j uː p n ɪ d ə
algi	a l ɡ ɪ
algironeun	a l dʒ aɪə n j uː n
algo	a l ɡ əʊ
algwonri	a l ɡ w ʌ n ɹ i
aljido	ɐ l dʒ iː d əʊ
alko	a l k əʊ
alkool	a l k uː l
alneun	ɐ l n j uː n
alpago	a l p eɪ ɡ əʊ
alpagoe	a l p ɐ ɡ əʊ
alpagoneun	a l p ɐ ɡ ə n j uː n
alpagowa	a l p ɐ ɡ aʊ ə
alraeseuka	ɔː l ɹ iː s j uː k ə
alreksangdeureu	ɔː l ɹ ɛ k s ɐ ŋ d j uː ɹ uː
alreniuseu	ɔː l ɹ iː n ɪ ə s j uː
alrereugiseong	ɔː l ɹ ɜː ɹ uː dʒ aɪ s ɒ ŋ
alrigi	ɔː l ɹ ɪ ɡ ɪ
alril	ɔː l ɹ əl
alrimpan	ɔː l ɹ ɪ m p a n
alripnida	ɔː l ɹ ɪ p n ɪ d ə
alrondeurarago	ɔː l ɹ ɒ n d j uː ɹ ɐ ɹ eɪ ɡ əʊ
alryeo	ɔː l ɹ ɪ eɪ əʊ
alryeojige	ɔː l r j əʊ dʒ aɪ dʒ
alryeojigo	ɔː l r j əʊ dʒ ɪ ɡ əʊ
alryeojija	ɔː l r j əʊ dʒ ɪ dʒ ə
alryeojin	ɔː l r j əʊ dʒ ɪ n
alryeojueotda	ɔː l r j əʊ dʒ j uː ɒ t d ə
alryeojun	ɔː l r j əʊ dʒ ʌ n
alryeojwoya	ɔː l r j əʊ dʒ w ɔɪ ə
alryeojyeo	ɔː l r j əʊ dʒ ɪ eɪ əʊ
alryeojyeoitda	ɔː l r j əʊ dʒ ɪ ɪ ɔɪ t d ə
alryeojyeotda	ɔː l r j əʊ dʒ j əʊ t d ə
alryeojyeotdaga	ɔː l r j əʊ dʒ j əʊ t d ɑː ɡ ə
alryeojyeotdaneun	ɔː l r j əʊ dʒ j əʊ t d a n j uː n
alryeojyeotjiman	ɔː l r j əʊ dʒ j əʊ t dʒ ɪ m ə n
alryeojyeotneunde	ɔː l r j əʊ dʒ j əʊ t n j uː n d
alryeojyeotseupnida	ɔː l r j əʊ dʒ j əʊ t s j uː p n ɪ d ə
alryeotda	ɔː l r j əʊ t d ə
ama	ɑː m ə
amachueo	a m ɐ tʃ j uː əʊ
amachueojeok	a m ɐ tʃ j uː əʊ dʒ ɒ k
amado	a m ɑː d əʊ
amagetdongwa	a m ɐ ɡ ɛ t d ɒ ŋ w ə
amajon	a m a dʒ ə n
amajoneseo	a m ɐ dʒ əʊ n s eɪ əʊ
amajoneun	a m ɐ dʒ əʊ n ʌ n
ambalbyeongryureun	a m b ɐ l b j əʊ ŋ ɡ r j uː ɹ uː n
amchoreul	a m k ɔː ɹ uː l
ame	eɪ m
amebaro	eɪ m b a ɹ əʊ
ameun	a m j uː n
amheukmuljiri	a m h j uː k m ə l dʒ iə ɹ i
amilkaneun	a m ɪ l k a n j uː n
amkeosin	a m k ɪ ɒ s ɪ n
amkeot	a m k ɪ ɒ t
amkeotdeureun	a m k ɪ ɒ t d j uː ɹ uː n
ammaejang	a m iː dʒ a ŋ
ammaejanghan	a m iː dʒ a ŋ h ə n
amorepeosipigi	a m ɔː p ɪ ɒ s ɪ p ɪ ɡ ɪ
amsihaetda	a m z ɪ h iː t d ə
amsihan	a m z ɪ h a n
amsoreul	a m s ɔː ɹ uː l
amsulmeoriro	a m s ə l m ɪ ɔː ɹ iə ɹ əʊ
amu	ɑː m uː
amudo	a m j uː d əʊ
amuraedo	a m j ʊə ɹ iː d əʊ
amureon	a m j ʊə ɹ ɪ ə n
amuri	a m j ʊə ɹ i
amuteun	a m j uː t j uː n
an	a n
ana	ɑː n ə
anado	a n ɑː d əʊ
anae	a n iː
anaeege	a n iː ɛ dʒ
anaega	a n iː ɡ ə
anaeneun	a n iː n j uː n
anaereul	a n eə ɹ uː l
anaerobuteo	a n eə ɹ ɒ b j uː t eɪ əʊ
anaeui	a n iː j uː i
anaewa	a n iː w ə
anaewaui	a n iː w ɔː i
anaseo	a n eɪ s ɪ əʊ
anasseul	a n ɐ s j uː l
anasseulkka	a n ɐ s j uː l k ə
anasseumyeon	a n ɐ s j uː m j əʊ n
anasseuna	a n ɐ s j uː n ə
anatda	a n a t d ə
anatdaga	a n ɐ t d ɑː ɡ ə
anatdago	a n ɐ t d eɪ ɡ əʊ
anatdamyeo	a n ɐ t d a m ɪ eɪ əʊ
anatdaneun	a n ɐ t d a n j uː n
anatdeon	a n ɐ t d ɪ ə n
anatgi	a n a t ɡ ɪ
anatgie	a n a t dʒ i
anatgo	a n a t ɡ əʊ
anatjiman	a n ɐ t dʒ ɪ m ə n
anatneunde	a n ɐ t n j uː n d
anatseupnida	a n ɐ t s j uː p n ɪ d ə
anatseupnikka	a n ɐ t s j uː p n ɪ k ə
anayoramyeo	a n eɪ ɔː ɹ ɐ m ɪ eɪ əʊ
anbaereul	a n b eə ɹ uː l
anbange	a n b a n dʒ
anbonggeun	a n b ə ŋ dʒ j uː n
anbowa	a n b əʊ ə
ancha	a n tʃ ə
anchakhaji	a n tʃ ɐ k h a dʒ i
ancheolsu	a n tʃ ɪ ɒ l s uː
anchiman	a n tʃ ɪ m ə n
andago	a n d eɪ ɡ əʊ
andeokmyeon	a n d ɪ ɒ k m j əʊ n
andeseu	a n d ɪ s j uː
andeureaneun	a n d j uː ɹ iː n j uː n
andeureareul	a n d j uː ɹ iə ɹ uː l
andeureaseu	a n d j uː ɹ iː s uː
ando	a n d əʊ
andoegi	a n d əʊ ɡ ɪ
andoegido	a n d əʊ dʒ iː d əʊ
andoego	a n d əʊ ɡ əʊ
andoelkkayorago	a n d əʊ l k eɪ ɔː ɹ eɪ ɡ əʊ
andoena	a n d əʊ n ə
andoendago	a n d əʊ n d eɪ ɡ əʊ
andoeneun	a n d əʊ n j uː n
ane	eɪ n
aneneun	eɪ n n j uː n
aneseo	a n ɪ s eɪ əʊ
aneseoman	a n ɪ s ɪ ɒ m ə n
aneul	a n j uː l
aneulge	a n j uː l dʒ
aneulji	a n j uː l dʒ i
aneulkka	a n j uː l k ə
aneultende	a n j uː l t ɛ n d
aneumyeo	a n j uː m ɪ eɪ əʊ
aneumyeon	a n j uː m j əʊ n
aneun	a n j uː n
aneunde	a n j uː n d
aneuni	a n j uː n i
aneunyago	a n j uː n ɪ eɪ ɡ əʊ
aneuro	a n j uː ɹ əʊ
aneuryeoneun	a n j uː r j əʊ n j uː n
aneusipnida	a n j uː s ɪ p n ɪ d ə
angaega	a ŋ ɡ iː ɡ ə
angeona	a n dʒ ə n ə
angeone	a n dʒ ə n
anghelreseu	a ŋ h ɪ l ɹ ɛ s j uː
ango	a ŋ ɡ əʊ
angwaneun	a ŋ w eɪ n ʌ n
angyeojun	a ŋ j əʊ dʒ ʌ n
angyeongeuro	a ŋ j əʊ n dʒ j uː ɹ əʊ
angyeotda	a ŋ j əʊ t d ə
anhaetdamyeon	a n h iː t d a m j əʊ n
anhajiman	a n h ɐ dʒ ɪ m ə n
anhin	a n h ɪ n
anhuijeongeuro	a n h j uː aɪ dʒ ə n dʒ j uː ɹ əʊ
ani	a n ɪ
anida	a n ɪ d ə
anidarago	a n ɪ d ɐ ɹ eɪ ɡ əʊ
anideorado	a n ɪ d ɪ ɔː ɹ ɑː d əʊ
anieotda	a n ɪ ɪ ɒ t d ə
anieotjiman	a n ɪ ɪ ɒ t dʒ ɪ m ə n
anieotseupnida	a n ɪ ɪ ɒ t s j uː p n ɪ d ə
anieyo	a n ɪ aɪ əʊ
anigetnyago	a n ɪ ɡ ɛ t n ɪ eɪ ɡ əʊ
anigo	a n ɪ ɡ əʊ
anigoyo	a n ɪ ɡ ɔɪ əʊ
anijanayo	a n ɪ dʒ a n eɪ əʊ
anijanayoramyeo	a n ɪ dʒ a n eɪ ɔː ɹ ɐ m ɪ eɪ əʊ
aniji	a n ɪ dʒ i
anijiman	a n ɪ dʒ ɪ m ə n
anijyo	a n ɪ dʒ ɪ əʊ
anil	a n ɪ l
anilkka	a n ɪ l k ə
animyeon	a n ɪ m j əʊ n
anin	a n ɪ n
aninde	a n ɪ n d
anindeyo	a n ɪ n d aɪ əʊ
aninga	a n ɪ ŋ ɡ ə
aningarago	a n ɪ ŋ ɡ ɐ ɹ eɪ ɡ əʊ
aninya	a n ɪ n j ə
aninyago	a n ɪ n ɪ eɪ ɡ əʊ
aninyaneun	a n ɪ n ɪ a n j uː n
aninyaramyeo	a n ɪ n j a ɹ ɐ m ɪ eɪ əʊ
anipnida	a n ɪ p n ɪ d ə
anipnikka	a n ɪ p n ɪ k ə
anira	a n ɪ ɹ ə
anirago	a n ɪ ɹ eɪ ɡ əʊ
aniramyeon	a n ɪ ɹ a m j əʊ n
aniraneun	a n ɪ ɹ a n j uː n
anisyeotseupnida	a n ɪ s j əʊ t s j uː p n ɪ d ə
anja	a n j ə
anjangsik	a n dʒ ɐ ŋ s ɪ k
anjeon	a n dʒ ɪ ə n
anjeoneul	a n dʒ ɪ əʊ n ʌ l
anjeongdoen	a n dʒ ɪ ɒ ŋ d əʊ n
anjeongeul	a n dʒ ɪ ɒ n dʒ j uː l
anjeongjeogieoseo	a n dʒ ɪ ɒ ŋ dʒ ɪ əʊ dʒ ɪ əʊ s ɪ əʊ
anjeongjeogin	a n dʒ ɪ ɒ ŋ dʒ ɪ ɒ dʒ ɪ n
anjeongjeogira	a n dʒ ɪ ɒ ŋ dʒ ɪ ə dʒ iə ɹ ə
anjeongseongi	a n dʒ ɪ ɒ ŋ s ɪ ɒ ŋ ɡ i
anjeongwa	a n dʒ ɪ ɒ ŋ w ə
anjeonhago	a n dʒ ɪ ə n h eɪ ɡ əʊ
anjeonhan	a n dʒ ɪ ɒ n h ə n
anjeonjangbireul	a n dʒ ɪ ɒ n dʒ ɐ ŋ b aɪə ɹ ʌ l
anjeonjidaega	a n dʒ ɪ ɒ n dʒ ɪ d iː ɡ ə
anjeonttido	a n dʒ ɪ ə n t iː d əʊ
anjongbeomege	a n dʒ ə ŋ b ɪ əʊ m dʒ
anke	a ŋ k
ankeodeunyo	a ŋ k ɪ əʊ d ə n ɪ əʊ
ankeona	a ŋ k ɪ əʊ n ə
anketdago	a ŋ k ɪ t d eɪ ɡ əʊ
anketdamyeo	a ŋ k ɪ t d a m ɪ eɪ əʊ
anketdaneun	a ŋ k ɪ t d a n j uː n
anketneunya	a ŋ k ɪ t n j uː n j ə
anketneunyago	a ŋ k ɪ t n j uː n ɪ eɪ ɡ əʊ
anketnyago	a ŋ k ɪ t n ɪ eɪ ɡ əʊ
anketseupnikka	a ŋ k ɪ t s j uː p n ɪ k ə
anki	a ŋ k i
ankil	a ŋ k ɪ l
anko	a ŋ k əʊ
ankoneun	a ŋ k əʊ n ʌ n
ankoseodo	a ŋ k əʊ s əʊ d əʊ
anminseok	a n m ɪ n s ɪ ɒ k
anna	a n ə
annae	a n ə
annaehajido	a n ə ɹ ɛ h ɐ dʒ iː d əʊ
annaeinui	a n ə ɹ eɪ n j uː i
annaemuni	a n ə ɹ ɪ m uː n i
annaereul	a n ə ɹ ə ɹ uː l
anneun	a n j uː n
anneunda	a n j uː n d ə
anneundago	a n j uː n d eɪ ɡ əʊ
anneundamyeo	a n j uː n d a m ɪ eɪ əʊ
anneundaneun	a n j uː n d a n j uː n
anneundaramyeo	a n j uː n d a ɹ ɐ m ɪ eɪ əʊ
anneunde	a n j uː n d
anneunyago	a n j uː n ɪ eɪ ɡ əʊ
annyago	a n ɪ eɪ ɡ əʊ
anpakkeseo	a n p ɐ k ɪ s eɪ əʊ
anpakkeseon	a n p ɐ k ɛ s ɪ ə n
anpakkeul	a n p ɐ k j uː l
anpakkui	a n p ɐ k j uː i
anrakhan	a n ɹ a k h ə n
anraksa	a n ɹ a k s ə
ansan	a n s ə n
ansandanwongyeongchalseoneun	a n s ɐ n d a n w ə n dʒ j əʊ ŋ tʃ ɐ l s ɪ əʊ n ʌ n
ansikcheoga	a n s ɪ k tʃ ɪ əʊ ɡ ə
ansimbeonho	a n s ɪ m b ɪ ɒ n h əʊ
ansimbyeongwon	a n s ɪ m b j əʊ ŋ w ə n
ansimhago	a n s ɪ m h eɪ ɡ əʊ
ansseupnida	a n s j uː p n ɪ d ə
ansseupnikka	a n s j uː p n ɪ k ə
ansseureopdago	a n s j uː ɹ ɪ ə p d eɪ ɡ əʊ
anssineun	a n s aɪ n ʌ n
anta	a n t ə
antago	a n t eɪ ɡ əʊ
antakkapda	a n t ɐ k a p d ə
antakkapdago	a n t ɐ k ɐ p d eɪ ɡ əʊ
antakkapgedo	a n t ɐ k ɐ p dʒ iː d əʊ
antakkawohaetda	a n t ɐ k a w əʊ h iː t d ə
antakkawotdeon	a n t ɐ k a w ə t d ɪ ə n
antamyeo	a n t ɐ m ɪ eɪ əʊ
antaneun	a n t ɐ n j uː n
anteon	a n t ɪ ə n
anteorado	a n t ɪ ɔː ɹ ɑː d əʊ
anteusi	a n t j uː s i
antonianeun	a n t əʊ n iə n j uː n
antorok	a n t ɔː ɹ ɒ k
anwireul	a n w aɪə ɹ ʌ l
ap	a p
apa	ɐ p a
apateu	a p ɐ t j uː
apateue	a p ɐ t j uː
apateuneun	a p ɐ t j uː n j uː n
apateureul	a p ɐ t j uː ɹ uː l
apbageul	ɐ p b a dʒ j uː l
apbak	ɐ p b a k
apdanggigiro	ɐ p d a ŋ dʒ ɪ dʒ iə ɹ əʊ
apdanggyeojyeotda	ɐ p d a ŋ dʒ j əʊ dʒ j əʊ t d ə
apdatueo	ɐ p d a t j uː əʊ
apdodoen	ɐ p d ɒ d əʊ n
apdojeogin	ɐ p d əʊ dʒ ə dʒ ɪ n
apdugo	ɐ p d j uː ɡ əʊ
apdugoneun	ɐ p d j uː ɡ ə n j uː n
apdun	ɐ p d ʌ n
ape	eɪ p
apeseo	eɪ p ɪ s eɪ əʊ
apeseoneun	eɪ p ɪ s ɪ əʊ n ʌ n
apeul	eɪ p j uː l
apeumeul	eɪ p j uː m j uː l
apeumyeon	eɪ p j uː m j əʊ n
apeun	eɪ p j uː n
apeurika	eɪ p j uː ɹ ɪ k ə
apeurikaeseo	eɪ p j uː ɹ ɪ k iː s eɪ əʊ
apeuro	eɪ p j uː ɹ əʊ
apeurodo	eɪ p j uː ɹ əʊ d əʊ
apeuroneun	eɪ p j uː ɹ əʊ n ʌ n
apeuroui	eɪ p j uː ɹ uː i
apina	ɐ p ɪ n ə
apjangseo	ɐ p dʒ ɐ ŋ s eɪ əʊ
apjangseogetdamyeo	ɐ p dʒ a ŋ s ɪ əʊ dʒ t d ɐ m ɪ eɪ əʊ
apjangseogo	ɐ p dʒ a ŋ s ɪ əʊ ɡ əʊ
apjangseoseo	ɐ p dʒ a ŋ s ɪ əʊ s ɪ əʊ
apjilreotda	ɐ p dʒ ɪ l ɹ ɪ ɒ t d ə
apjjogeneun	ɐ p dʒ əʊ dʒ n j uː n
apkkaji	ɐ p k a dʒ i
apman	ɐ p m a n
apnareul	ɐ p n eə ɹ ʌ l
appa	a p ə
appaga	a p ɑː ɡ ə
appahante	a p ɐ h ɑː n t eɪ
appaneun	a p ɐ n j uː n
appayeotneunde	a p eɪ ɪ ɒ t n j uː n d
apryeogeul	ɐ p r j əʊ dʒ j uː l
apryeogi	ɐ p r j əʊ ɡ ɪ
apryuhan	ɐ p r j uː h a n
apseo	a p s ɪ əʊ
apseon	a p s ɪ ə n
apseotda	a p s ɪ ɒ t d ə
apsuhaetseupnida	a p s uː h iː t s j uː p n ɪ d ə
apsuhaneun	a p s uː h a n j uː n
apsususaegeul	a p s uː s uː s iː dʒ j uː l
apsususaek	a p s uː s uː s iː k
apsususaekhago	a p s uː s uː s iː k h eɪ ɡ əʊ
arabemiriteu	a ɹ ə b m ɪ ɹ aɪ t uː
arabemiriteuwa	a ɹ ə b m ɪ ɹ aɪ t j uː w ə
arabogi	a ɹ ɐ b əʊ ɡ ɪ
arabogijocha	a ɹ ɐ b ɒ dʒ ɪ dʒ ɒ tʃ ə
araboneun	a ɹ ɐ b əʊ n ʌ n
arabwatseupnida	a ɹ ɐ b w ɒ t s j uː p n ɪ d ə
aradeutdeoraneun	a ɹ ə d ʌ t d ɪ ɔː ɹ ɐ n j uː n
aradeutji	a ɹ ə d ʌ t dʒ i
arae	a ɹ iː
araee	a ɹ iː
araeeseo	a ɹ iː ɪ s eɪ əʊ
araero	a ɹ ɑː ɹ əʊ
araerobuteoui	a ɹ ɑː ɹ ə b j uː t ɪ uː i
araesipsureul	a ɹ iː s ɪ p s ə ɹ uː l
aranaetda	a ɹ ɐ n iː t d ə
araseo	a ɹ ə s ɪ əʊ
arasseul	a ɹ ɐ s j uː l
arasseumyeon	a ɹ ɐ s j uː m j əʊ n
arasseuni	a ɹ ɐ s j uː n i
aratgi	a ɹ a t ɡ ɪ
aratneunde	a ɹ ɐ t n j uː n d
araya	a ɹ eɪ ə
areubaiteuhasineun	a ɹ uː b eɪ t j uː h a s aɪ n ʌ n
areubaiteuna	a ɹ uː b eɪ t j uː n ə
areubaiteuraneun	a ɹ uː b eɪ t j uː ɹ a n j uː n
areubaiteureul	a ɹ uː b eɪ t j uː ɹ uː l
areugumenteui	a ɹ uː ɡ j uː m ə n t j uː i
areuhentinarobuteo	a ɹ uː h ɛ n t ɪ n a ɹ ə b j uː t eɪ əʊ
areumdaul	a ɹ uː m d ɔː l
areumdaumeul	a ɹ uː m d ɔː m j uː l
areumdaun	a ɹ uː m d ɔː n
areumyeonseo	a ɹ uː m j əʊ n s eɪ əʊ
asa	ɐ s a
asagan	ɐ s a ɡ ə n
asanchungmubyeongwon	ɐ s a n tʃ ə ŋ m ʌ b j əʊ ŋ w ə n
aseupereugeo	a s j uː p ə ɹ uː dʒ eɪ əʊ
asiaeseo	ɐ s ɪ iː s eɪ əʊ
asiagwon	ɐ s ɪ a ɡ w ə n
asiagyeongje	ɐ s ɪ ɐ dʒ j əʊ ŋ dʒ
asianagi	ɐ s ɪ ɐ n ɑː ɡ ɪ
asianahanggong	ɐ s ɪ ɐ n a h ɐ ŋ ɡ ɒ ŋ
asianahanggongeun	ɐ s ɪ ɐ n a h ɐ ŋ ɡ ɒ n dʒ j uː n
asiankuk	ɐ s ɪ ɐ ŋ k ʌ k
asiaui	ɐ s ɪ ɔː i
asigetjiman	ɐ s aɪ dʒ t dʒ ɪ m ə n
asinayo	a s ɪ n eɪ əʊ
asisie	ɐ s ɪ s i
aswiun	ɐ s w ɪ ʌ n
audipokseubagenkoriaui	ɔː d ɪ p ɒ k s j uː b eɪ dʒ ə ŋ k ɔː ɹ ɪ ɔː i
aulreo	ɔː l ɹ ɪ əʊ
ausyubicheu	ɔː s j uː b ɪ tʃ j uː
autreseun	ɔː t ɹ ɪ s j uː n
autretdeul	ɔː t ɹ ɪ t d j uː l
aye	aɪ
ayeongssireul	aɪ ɪ ɒ ŋ s aɪə ɹ ʌ l
ayeongssiui	aɪ ɪ ɒ ŋ s ɪ j uː i
ba	b ɑː
babeun	b a b j uː n
babikyu	b a b ɪ k ɪ uː
babilrone	b a b ɪ l ɹ əʊ n
babocheoreom	b a b ə tʃ ɪ ɔː ɹ ɪ ə m
bada	b ɑː d ə
badabogo	b a d ɐ b əʊ ɡ əʊ
badachyeotda	b a d ɐ k ɪ ɪ ɒ t d ə
badadeoreo	b a d eɪ d ɔː ɹ eɪ əʊ
badadeurigo	b a d ɐ d j uː ɹ ɪ ɡ əʊ
badadeuriji	b a d ɐ d j uː ɹ ɪ dʒ i
badadeuril	b a d ɐ d j uː ɹ əl
badadeurinda	b a d ɐ d j uː ɹ ɪ n d ə
badadeurindago	b a d ɐ d j uː ɹ ɪ n d eɪ ɡ əʊ
badadeuryeojigeona	b a d ɐ d j uː r j əʊ dʒ ɪ dʒ ə n ə
badadeuryeojyeotda	b a d ɐ d j uː r j əʊ dʒ j əʊ t d ə
badadeuryeojyeoya	b a d ɐ d j uː r j əʊ dʒ ɪ ɪ ɔɪ ə
badadeuryeotda	b a d ɐ d j uː r j əʊ t d ə
badage	b a d ɪ dʒ
badageul	b a d ɐ dʒ j uː l
badanael	b a d ɐ n eɪ l
badaseo	b a d eɪ s ɪ əʊ
badasseumeul	b a d ɐ s j uː m j uː l
badatda	b a d a t d ə
badatdamyeon	b a d ɐ t d a m j əʊ n
badatdaneun	b a d ɐ t d a n j uː n
badatdeorado	b a d ɐ t d ɪ ɔː ɹ ɑː d əʊ
badatgo	b a d a t ɡ əʊ
badatjiman	b a d ɐ t dʒ ɪ m ə n
badatmureseo	b a d ɐ t m j ʊə ɹ ɪ s eɪ əʊ
badatneunde	b a d ɐ t n j uː n d
badatseupnida	b a d ɐ t s j uː p n ɪ d ə
badaui	b a d ɔː i
badawatda	b a d ɐ w ɒ t d ə
badaya	b a d eɪ ə
badeul	b a d j uː l
badeumyeo	b a d j uː m ɪ eɪ əʊ
badeumyeon	b a d j uː m j əʊ n
badeumyeonseodo	b a d j uː m j əʊ n s ɪ əʊ d əʊ
badeun	b a d j uː n
