-o	ɔ
abaixei	ɐ b aɪ ʃ eɪ
abaixo	ɐ b aɪ ʃ ʊ
abaixou	ɐ b aɪ ʃ o w
abaixou-se	ɐ b aɪ ʃ o w s ɨ
abajur	ɐ b ɐ ʒ u ɹ
abala	ɐ b a l ɐ
abalada	ɐ b ɐ l a d ɐ
abalado	ɐ b ɐ l a d ʊ
abalador	ɐ b ɐ l ɐ d o ɹ
abalados	ɐ b ɐ l a d ʊ ʃ
abalam	ɐ b a l ɐ̃ʊ̃
abalance	ɐ b ɐ l ɐ̃ ŋ s ɨ
abalando	ɐ b ɐ l ɐ̃ ŋ d ʊ
abalança	ɐ b ɐ l ɐ̃ ŋ s ɐ
abalançam	ɐ b ɐ l ɐ̃ ŋ s ɐ̃ʊ̃
abalançarei	ɐ b ɐ l ɐ̃ ŋ s ɐ ɾ eɪ
abalançaremos	ɐ b ɐ l ɐ̃ ŋ s ɐ ɾ e m ʊ ʃ
abalançaria	ɐ b ɐ l ɐ̃ ŋ s ɐ ɾ i ɐ
abalançasse	ɐ b ɐ l ɐ̃ ŋ s a s ɨ
abalançava	ɐ b ɐ l ɐ̃ ŋ s a v ɐ
abalanço	ɐ b ɐ l ɐ̃ ŋ s ʊ
abalar	ɐ b ɐ l a ɹ
abalara	ɐ b ɐ l a ɾ ɐ
abalaram	ɐ b ɐ l a ɾ ɐ̃ʊ̃
abalarei	ɐ b ɐ l ɐ ɾ eɪ
abalarem	ɐ b ɐ l a ɾ eɪ ŋ
abalaria	ɐ b ɐ l ɐ ɾ i ɐ
abalasse	ɐ b ɐ l a s ɨ
abalava	ɐ b ɐ l a v ɐ
abalavam	ɐ b ɐ l a v ɐ̃ʊ̃
abalei	ɐ b ɐ l eɪ
abalisada	ɐ b ɐ l i z a d ɐ
abalizada	ɐ b ɐ l i z a d ɐ
abalizados	ɐ b ɐ l i z a d ʊ ʃ
abalo	ɐ b a l ʊ
abalos	ɐ b a l ʊ ʃ
abalou	ɐ b ɐ l o w
abalou-se	ɐ b ɐ l o w s ɨ
abalroe	ɐ b ɑ l ʁ o ɨ
abalá	ɐ b ɐ l a
abanam	ɐ b ɐ̃ n ɐ̃ʊ̃
abanando	ɐ b ɐ n ɐ̃ ŋ d ʊ
abanar	ɐ b ɐ n a ɹ
abanava	ɐ b ɐ n a v ɐ
abanavam	ɐ b ɐ n a v ɐ̃ʊ̃
abancados	ɐ b ɐ̃ ŋ k a d ʊ ʃ
abancando	ɐ b ɐ̃ ŋ k ɐ̃ ŋ d ʊ
abancavam	ɐ b ɐ̃ ŋ k a v ɐ̃ʊ̃
abandona	ɐ b ɐ̃ ŋ d o n ɐ
abandonada	ɐ b ɐ̃ ŋ d u n a d ɐ
abandonadas	ɐ b ɐ̃ ŋ d u n a d ɐ ʃ
abandonado	ɐ b ɐ̃ ŋ d u n a d ʊ
abandonados	ɐ b ɐ̃ ŋ d u n a d ʊ ʃ
abandonam	ɐ b ɐ̃ ŋ d o n ɐ̃ʊ̃
abandonamos	ɐ b ɐ̃ ŋ d u n ɐ̃ m ʊ ʃ
abandonando	ɐ b ɐ̃ ŋ d u n ɐ̃ ŋ d ʊ
abandonar	ɐ b ɐ̃ ŋ d u n a ɹ
abandonara	ɐ b ɐ̃ ŋ d u n a ɾ ɐ
abandonaram	ɐ b ɐ̃ ŋ d u n a ɾ ɐ̃ʊ̃
abandonarei	ɐ b ɐ̃ ŋ d u n ɐ ɾ eɪ
abandonarem	ɐ b ɐ̃ ŋ d u n a ɾ eɪ ŋ
abandonaria	ɐ b ɐ̃ ŋ d u n ɐ ɾ i ɐ
abandonará	ɐ b ɐ̃ ŋ d u n ɐ ɾ a
abandonasse	ɐ b ɐ̃ ŋ d u n a s ɨ
abandonassem	ɐ b ɐ̃ ŋ d u n a s eɪ ŋ
abandonasses	ɐ b ɐ̃ ŋ d u n a s ɨ ʃ
abandonaste	ɐ b ɐ̃ ŋ d u n a ʃ t ɨ
abandonava	ɐ b ɐ̃ ŋ d u n a v ɐ
abandonavam	ɐ b ɐ̃ ŋ d u n a v ɐ̃ʊ̃
abandone	ɐ b ɐ̃ ŋ d o n ɨ
abandonei	ɐ b ɐ̃ ŋ d u n eɪ
abandonemos	ɐ b ɐ̃ ŋ d u n e m ʊ ʃ
abandono	ɐ b ɐ̃ ŋ d o n ʊ
abandonou	ɐ b ɐ̃ ŋ d u n o w
abandoná	ɐ b ɐ̃ ŋ d u n a
abandoná-lo	ɐ b ɐ̃ ŋ d u n a l ʊ
abandonára	ɐ b ɐ̃ ŋ d u n a ɾ ɐ
abanei	ɐ b ɐ n eɪ
abano	ɐ b ɐ̃ n ʊ
abanou	ɐ b ɐ n o w
abarbado	ɐ b ɐ ɾ ə b a d ʊ
abarbava	ɐ b ɐ ɾ ə b a v ɐ
abarcam	ɐ b a ɾ ə k ɐ̃ʊ̃
abarcando	ɐ b ɐ ɾ ə k ɐ̃ ŋ d ʊ
abarcar	ɐ b ɐ ɾ ə k a ɹ
abarcariam	ɐ b ɐ ɾ ə k ɐ ɾ i ɐ̃ʊ̃
abarcava	ɐ b ɐ ɾ ə k a v ɐ
abarco	ɐ b a ɾ ə k ʊ
abarcou	ɐ b ɐ ɾ ə k o w
abarcá	ɐ b ɐ ɾ ə k a
abarim	ɐ b ɐ ɾ i ŋ
abarracado	ɐ b ɐ ʁ ɐ k a d ʊ
abarracamentos	ɐ b ɐ ʁ ɐ k ɐ m eɪ ŋ t ʊ ʃ
abarreirados	ɐ b ɐ ʁ eɪ ɾ a d ʊ ʃ
abarreiram	ɐ b ɐ ʁ eɪ ɾ ɐ̃ʊ̃
abarreirando	ɐ b ɐ ʁ eɪ ɾ ɐ̃ ŋ d ʊ
abarrotadas	ɐ b ɐ ʁ u t a d ɐ ʃ
abarrotadinhos	ɐ b ɐ ʁ u t ɐ d i ɲ ʊ ʃ
abarrotado	ɐ b ɐ ʁ u t a d ʊ
abarrotara	ɐ b ɐ ʁ u t a ɾ ɐ
abarrotavam	ɐ b ɐ ʁ u t a v ɐ̃ʊ̃
abarrotou	ɐ b ɐ ʁ u t o w
abas	a b ɐ ʃ
abastada	ɐ b ɐ ʃ t a d ɐ
abastado	ɐ b ɐ ʃ t a d ʊ
abastados	ɐ b ɐ ʃ t a d ʊ ʃ
abastança	ɐ b ɐ ʃ t ɐ̃ ŋ s ɐ
abastardaram	ɐ b ɐ ʃ t ɐ ɾ ə d a ɾ ɐ̃ʊ̃
abastecendo	ɐ b ɐ ʃ t ɨ s eɪ ŋ d ʊ
abastecer	ɐ b ɐ ʃ t ɨ s e ɹ
abata	ɐ b a t ɐ
abatava-se	ɐ b ɐ t a v ɐ s ɨ
abate	ɐ b a t ɨ
abateffeis	ɐ b ɐ t ɨ f eɪ ʃ
abatem	ɐ b a t eɪ ŋ
abatendo	ɐ b ɐ t eɪ ŋ d ʊ
abater	ɐ b ɐ t e ɹ
abatera	ɐ b ɐ t e ɾ ɐ
abateram	ɐ b ɐ t e ɾ ɐ̃ʊ̃
abatesse	ɐ b ɐ t e s ɨ
abatessem	ɐ b ɐ t e s eɪ ŋ
abateu	ɐ b ɐ t eʊ
abati	ɐ b ɐ t i
abatia	ɐ b ɐ t i ɐ
abatiam	ɐ b ɐ t i ɐ̃ʊ̃
abatida	ɐ b ɐ t i d ɐ
abatidas	ɐ b ɐ t i d ɐ ʃ
abatido	ɐ b ɐ t i d ʊ
abatidos	ɐ b ɐ t i d ʊ ʃ
abatimento	ɐ b ɐ t i m eɪ ŋ t ʊ
abatises	ɐ b ɐ t i z ɨ ʃ
abatê	ɐ b ɐ t e
abaulado	ɐ b aʊ l a d ʊ
abbade	ɐ b a d ɨ
abbadessa	ɐ b ɐ d ɛ s ɐ
abbadessas	ɐ b ɐ d ɛ s ɐ ʃ
abc	ɐ b e s e
abdica	ɐ b d i k ɐ
abdicado	ɐ b d i k a d ʊ
abdicando	ɐ b d i k ɐ̃ ŋ d ʊ
abdicar	ɐ b d i k a ɹ
abdicassem	ɐ b d i k a s eɪ ŋ
abdicava	ɐ b d i k a v ɐ
abdicação	ɐ b d i k ɐ s ɐ̃ʊ̃
abdome	ɐ b d o m ɨ
abdômen	ɐ b d o m eɪ ŋ
abdômens	ɐ b d o m eɪ ŋ ʃ
abeberar	ɐ b ɨ b ɨ ɾ a ɹ
abegoaria	ɐ b ɨ ɡ u ɐ ɾ i ɐ
abeillard	ɐ b ɨ i l a ɾ ə d
abeira	ɐ b eɪ ɾ ɐ
abeiradas	ɐ b eɪ ɾ a d ɐ ʃ
abeiram	ɐ b eɪ ɾ ɐ̃ʊ̃
abeirando	ɐ b eɪ ɾ ɐ̃ ŋ d ʊ
abeirar	ɐ b eɪ ɾ a ɹ
abeirara	ɐ b eɪ ɾ a ɾ ɐ
abeiraram	ɐ b eɪ ɾ a ɾ ɐ̃ʊ̃
abeirasse	ɐ b eɪ ɾ a s ɨ
abeirava	ɐ b eɪ ɾ a v ɐ
abeiravam	ɐ b eɪ ɾ a v ɐ̃ʊ̃
abeiro	ɐ b eɪ ɾ ʊ
abel	ɐ b ɛ l
abelardo	ɐ b ɨ l a ɾ ə d ʊ
abelha	ɐ b e ʎ ɐ
abelhas	ɐ b e ʎ ɐ ʃ
abelhudo	ɐ b ɨ ʎ u d ʊ
abençoa	ɐ b eɪ ŋ s o ɐ
abençoada	ɐ b eɪ ŋ s u a d ɐ
abençoadas	ɐ b eɪ ŋ s u a d ɐ ʃ
abençoado	ɐ b eɪ ŋ s u a d ʊ
abençoados	ɐ b eɪ ŋ s u a d ʊ ʃ
abençoai	ɐ b eɪ ŋ s u aɪ
abençoando	ɐ b eɪ ŋ s u ɐ̃ ŋ d ʊ
abençoar	ɐ b eɪ ŋ s u a ɹ
abençoara	ɐ b eɪ ŋ s u a ɾ ɐ
abençoaram	ɐ b eɪ ŋ s u a ɾ ɐ̃ʊ̃
abençoarei	ɐ b eɪ ŋ s u ɐ ɾ eɪ
abençoarem	ɐ b eɪ ŋ s u a ɾ eɪ ŋ
abençoará	ɐ b eɪ ŋ s u ɐ ɾ a
abençoarão	ɐ b eɪ ŋ s u ɐ ɾ ɐ̃ʊ̃
abençoava	ɐ b eɪ ŋ s u a v ɐ
abençoavam	ɐ b eɪ ŋ s u a v ɐ̃ʊ̃
abençoe	ɐ b eɪ ŋ s o ɨ
abençoei	ɐ b eɪ ŋ s u eɪ
abençoou	ɐ b eɪ ŋ s u o w
abençoá	ɐ b eɪ ŋ s u a
abençôe	ɐ b eɪ ŋ s o ɨ
abençôo	ɐ b eɪ ŋ s o ʊ
aberrado	ɐ b ɨ ʁ a d ʊ
aberratórias	ɐ b ɨ ʁ ɐ t ɔ ɾ j ɐ ʃ
aberração	ɐ b ɨ ʁ ɐ s ɐ̃ʊ̃
aberrações	ɐ b ɨ ʁ ɐ s õ j ʃ
aberta	ɐ b ɛ ɾ ə t ɐ
abertamente	ɐ b ɨ ɾ ə t ɐ m eɪ ŋ t ɨ
abertas	ɐ b ɛ ɾ ə t ɐ ʃ
aberto	ɐ b ɛ ɾ ə t ʊ
abertos	ɐ b ɛ ɾ ə t ʊ ʃ
abertura	ɐ b ɨ ɾ ə t u ɾ ɐ
aberturas	ɐ b ɨ ɾ ə t u ɾ ɐ ʃ
abespinhado	ɐ b ɨ ʃ p i ɲ a d ʊ
abfolto	ɐ b f ɔ l t ʊ
abfolvição	ɐ b f u l v i s ɐ̃ʊ̃
abicar	ɐ b i k a ɹ
abidarma	ɐ b i d a ɾ ə m ɐ
abimeleque	ɐ b i m ɨ l ɛ k ɨ
abismada	ɐ b i ʒ m a d ɐ
abismado	ɐ b i ʒ m a d ʊ
abismadora	ɐ b i ʒ m ɐ d o ɾ ɐ
abismados	ɐ b i ʒ m a d ʊ ʃ
abismal	ɐ b i ʒ m ɑ l
abismam	ɐ b i ʒ m ɐ̃ʊ̃
abismava	ɐ b i ʒ m a v ɐ
abismo	ɐ b i ʒ m ʊ
abismos	ɐ b i ʒ m ʊ ʃ
abismou	ɐ b i ʒ m o w
abissínios	ɐ b i s i n j ʊ ʃ
abiífo	ɐ b j i f ʊ
abióticas	ɐ b i ɔ t i k ɐ ʃ
abjecta	ɐ b ʒ ɛ t ɐ
abjecto	ɐ b ʒ ɛ t ʊ
abjectos	ɐ b ʒ ɛ t ʊ ʃ
abjecção	ɐ b ʒ ɛ s ɐ̃ʊ̃
abjedo	ɐ b ʒ e d ʊ
abjefto	ɐ b ʒ e f t ʊ
abjeta	ɐ b ʒ ɛ t ɐ
abjetamente	ɐ b ʒ ɨ t ɐ m eɪ ŋ t ɨ
abjeto	ɐ b ʒ ɛ t ʊ
abjeâo	ɐ b ʒ ɨ ɐ ʊ
abjeção	ɐ b ʒ ɨ s ɐ̃ʊ̃
abjeções	ɐ b ʒ ɨ s õ j ʃ
ablaqueados	ɐ b l ɐ k ɨ a d ʊ ʃ
ablegadas	ɐ b l ɨ ɡ a d ɐ ʃ
ablução	ɐ b l u s ɐ̃ʊ̃
abluções	ɐ b l u s õ j ʃ
abnegada	ɐ b n ɨ ɡ a d ɐ
abnegado	ɐ b n ɨ ɡ a d ʊ
abnegados	ɐ b n ɨ ɡ a d ʊ ʃ
abnegar	ɐ b n ɨ ɡ a ɹ
abnegação	ɐ b n ɨ ɡ ɐ s ɐ̃ʊ̃
abnegações	ɐ b n ɨ ɡ ɐ s õ j ʃ
abnótico	ɐ b n ɔ t i k ʊ
abo	a b ʊ
abobada	ɐ b u b a d ɐ
abobadada	ɐ b u b ɐ d a d ɐ
abobadadas	ɐ b u b ɐ d a d ɐ ʃ
abobadado	ɐ b u b ɐ d a d ʊ
abobadavam	ɐ b u b ɐ d a v ɐ̃ʊ̃
abobora	ɐ b u b ɔ ɾ ɐ
aboborado	ɐ b u b u ɾ a d ʊ
abobreiras	ɐ b u b ɹ eɪ ɾ ɐ ʃ
abocando	ɐ b u k ɐ̃ ŋ d ʊ
aboletada	ɐ b u l ɛ t a d ɐ
aboletado	ɐ b u l ɛ t a d ʊ
aboletados	ɐ b u l ɛ t a d ʊ ʃ
aboletar	ɐ b u l ɛ t ɐ ɹ
aboletara	ɐ b u l ɛ t a ɾ ɐ
abolicionista	ɐ b u l i s i u n i ʃ t ɐ
abolicionistas	ɐ b u l i s i u n i ʃ t ɐ ʃ
abolindo	ɐ b u l i ŋ d ʊ
abolir	ɐ b u l i ɹ
aboliram	ɐ b u l i ɾ ɐ̃ʊ̃
aboliu	ɐ b u l iʊ
abolição	ɐ b u l i s ɐ̃ʊ̃
abombado	ɐ b u m b a d ʊ
abomina	ɐ b u m i n ɐ
abominais	ɐ b u m i n aɪ ʃ
abominam	ɐ b u m i n ɐ̃ʊ̃
abominamos	ɐ b u m i n ɐ̃ m ʊ ʃ
abominaveis	ɐ b u m i n ɐ v eɪ ʃ
abominavel	ɐ b u m i n a v ɛ l
abominação	ɐ b u m i n ɐ s ɐ̃ʊ̃
abominações	ɐ b u m i n ɐ s õ j ʃ
abomino	ɐ b u m i n ʊ
abomináveis	ɐ b u m i n a v eɪ ʃ
abominável	ɐ b u m i n a v ɛ l
abona	ɐ b o n ɐ
abonança	ɐ b u n ɐ̃ ŋ s ɐ
abonançam	ɐ b u n ɐ̃ ŋ s ɐ̃ʊ̃
abono	ɐ b o n ʊ
aborda	ɐ b ɔ ɾ ə d ɐ
abordado	ɐ b u ɾ ə d a d ʊ
abordagem	ɐ b u ɾ ə d a ʒ eɪ ŋ
abordam	ɐ b ɔ ɾ ə d ɐ̃ʊ̃
abordando	ɐ b u ɾ ə d ɐ̃ ŋ d ʊ
abordar	ɐ b u ɾ ə d a ɹ
abordavam	ɐ b u ɾ ə d a v ɐ̃ʊ̃
abordoado	ɐ b u ɾ ə d u a d ʊ
abordoando	ɐ b u ɾ ə d u ɐ̃ ŋ d ʊ
aborigenes	ɐ b u ɾ i ʒ e n ɨ ʃ
aborrece	ɐ b u ʁ ɛ s ɨ
aborrecedores	ɐ b u ʁ e s ɨ d o ɾ ɨ ʃ
aborrecem	ɐ b u ʁ ɛ s eɪ ŋ
aborrecem-me	ɐ b u ʁ ɛ s eɪ ŋ m ɨ
aborrecendo	ɐ b u ʁ ɨ s eɪ ŋ d ʊ
aborrecer	ɐ b u ʁ ɨ s e ɹ
aborrecer-me	ɐ b u ʁ ɨ s e ɹ m ɨ
aborrecer-se	ɐ b u ʁ ɨ s e ɹ s ɨ
aborreceram	ɐ b u ʁ ɨ s e ɾ ɐ̃ʊ̃
aborrecerem	ɐ b u ʁ ɨ s e ɾ eɪ ŋ
aborreceu	ɐ b u ʁ ɨ s eʊ
aborreceu-se	ɐ b u ʁ ɨ s eʊ s ɨ
aborrecia	ɐ b u ʁ ɨ s i ɐ
aborrecia-se	ɐ b u ʁ ɨ s i ɐ s ɨ
aborreciam	ɐ b u ʁ ɨ s i ɐ̃ʊ̃
aborrecida	ɐ b u ʁ ɨ s i d ɐ
aborrecidas	ɐ b u ʁ ɨ s i d ɐ ʃ
aborrecido	ɐ b u ʁ ɨ s i d ʊ
aborrecimento	ɐ b u ʁ e s i m eɪ ŋ t ʊ
aborrecimentos	ɐ b u ʁ e s i m eɪ ŋ t ʊ ʃ
aborrecivel	ɐ b u ʁ ɨ s i v ɛ l
aborrecê	ɐ b u ʁ ɨ s e
aborrecíveis	ɐ b u ʁ ɨ s i v eɪ ʃ
aborreça	ɐ b u ʁ e s ɐ
aborreço	ɐ b u ʁ e s ʊ
abortadas	ɐ b u ɾ ə t a d ɐ ʃ
abortamento	ɐ b u ɾ ə t ɐ m eɪ ŋ t ʊ
abortar	ɐ b u ɾ ə t a ɹ
abortaram	ɐ b u ɾ ə t a ɾ ɐ̃ʊ̃
aborte	ɐ b ɔ ɾ ə t ɨ
aborto	ɐ b o ɾ ə t ʊ
abortícia	ɐ b u ɾ ə t i s j ɐ
abortícias	ɐ b u ɾ ə t i s j ɐ ʃ
aborígene	ɐ b u ɾ i ʒ ɨ n ɨ
aborígenes	ɐ b u ɾ i ʒ ɨ n ɨ ʃ
aborígine	ɐ b u ɾ i ʒ i n ɨ
abotoada	ɐ b u t u a d ɐ
abotoadas	ɐ b u t u a d ɐ ʃ
abotoado	ɐ b u t u a d ʊ
abotoados	ɐ b u t u a d ʊ ʃ
abotoadura	ɐ b u t u ɐ d u ɾ ɐ
abotoam	ɐ b u t o ɐ̃ʊ̃
abotoando	ɐ b u t u ɐ̃ ŋ d ʊ
abotoar	ɐ b u t u a ɹ
abotoara	ɐ b u t u a ɾ ɐ
abotoava	ɐ b u t u a v ɐ
abotoei	ɐ b u t u eɪ
abotoou	ɐ b u t u o w
aboukir	ɐ b u w k i ɹ
about	ɐ b o w t
abra	a b ɹ ɐ
abrace	ɐ b ɹ a s ɨ
abracei	ɐ b ɹ ɐ s eɪ
abracem	ɐ b ɹ a s eɪ ŋ
abrahão	ɐ b ɹ ɐ ɐ̃ʊ̃
abram	a b ɹ ɐ̃ʊ̃
abramos	ɐ b ɹ ɐ̃ m ʊ ʃ
abranda	ɐ b ɹ ɐ̃ ŋ d ɐ
abrandada	ɐ b ɹ ɐ̃ ŋ d a d ɐ
abrandando	ɐ b ɹ ɐ̃ ŋ d ɐ̃ ŋ d ʊ
abrandar	ɐ b ɹ ɐ̃ ŋ d a ɹ
abrandarem	ɐ b ɹ ɐ̃ ŋ d a ɾ eɪ ŋ
abrandou	ɐ b ɹ ɐ̃ ŋ d o w
abrandá	ɐ b ɹ ɐ̃ ŋ d a
abrange	ɐ b ɹ ɐ̃ ŋ ʒ ɨ
abrangendo	ɐ b ɹ ɐ̃ ŋ ʒ eɪ ŋ d ʊ
abranger	ɐ b ɹ ɐ̃ ŋ ʒ e ɹ
abranges	ɐ b ɹ ɐ̃ ŋ ʒ ɨ ʃ
abrangesse	ɐ b ɹ ɐ̃ ŋ ʒ ɛ s ɨ
abrangeu	ɐ b ɹ ɐ̃ ŋ ʒ eʊ
abrangia	ɐ b ɹ ɐ̃ ŋ ʒ i ɐ
abrangiam	ɐ b ɹ ɐ̃ ŋ ʒ i ɐ̃ʊ̃
abrangida	ɐ b ɹ ɐ̃ ŋ ʒ i d ɐ
abrangido	ɐ b ɹ ɐ̃ ŋ ʒ i d ʊ
abrangidos	ɐ b ɹ ɐ̃ ŋ ʒ i d ʊ ʃ
abrangê	ɐ b ɹ ɐ̃ ŋ ʒ e
abrantes	ɐ b ɹ ɐ̃ ŋ t ɨ ʃ
abrasa	ɐ b ɹ a z ɐ
abrasada	ɐ b ɹ ɐ z a d ɐ
abrasadas	ɐ b ɹ ɐ z a d ɐ ʃ
abrasado	ɐ b ɹ ɐ z a d ʊ
abrasador	ɐ b ɹ ɐ z ɐ d o ɹ
abrasadora	ɐ b ɹ ɐ z ɐ d o ɾ ɐ
abrasadoramente	ɐ b ɹ ɐ z ɐ d u ɾ ɐ m eɪ ŋ t ɨ
abrasadoras	ɐ b ɹ ɐ z ɐ d o ɾ ɐ ʃ
abrasados	ɐ b ɹ ɐ z a d ʊ ʃ
abrasante	ɐ b ɹ ɐ z ɐ̃ ŋ t ɨ
abrasantes	ɐ b ɹ ɐ z ɐ̃ ŋ t ɨ ʃ
abrasar	ɐ b ɹ ɐ z a ɹ
abrasara	ɐ b ɹ ɐ z a ɾ ɐ
abrasariam	ɐ b ɹ ɐ z ɐ ɾ i ɐ̃ʊ̃
abrasas	ɐ b ɹ a z ɐ ʃ
abrasava	ɐ b ɹ ɐ z a v ɐ
abrasavam	ɐ b ɹ ɐ z a v ɐ̃ʊ̃
abrase	ɐ b ɹ a z ɨ
abrasileirou	ɐ b ɹ ɐ z i l eɪ ɾ o w
abrasáva	ɐ b ɹ ɐ z a v ɐ
abrazam	ɐ b ɹ a z ɐ̃ʊ̃
abraão	ɐ b ɹ ɐ ɐ̃ʊ̃
abraça	ɐ b ɹ a s ɐ
abraça-a	ɐ b ɹ a s ɐ a
abraçada	ɐ b ɹ ɐ s a d ɐ
abraçado	ɐ b ɹ ɐ s a d ʊ
abraçados	ɐ b ɹ ɐ s a d ʊ ʃ
abraçal	ɐ b ɹ ɐ s ɑ l
abraçal-a	ɐ b ɹ ɐ s ɑ l a
abraçam	ɐ b ɹ a s ɐ̃ʊ̃
abraçamos	ɐ b ɹ ɐ s ɐ̃ m ʊ ʃ
abraçando	ɐ b ɹ ɐ s ɐ̃ ŋ d ʊ
abraçar	ɐ b ɹ ɐ s a ɹ
abraçar-me	ɐ b ɹ ɐ s a ɹ m ɨ
abraçar-se	ɐ b ɹ ɐ s a ɹ s ɨ
abraçar-te	ɐ b ɹ ɐ s a ɹ t ɨ
abraçara	ɐ b ɹ ɐ s a ɾ ɐ
abraçaram-se	ɐ b ɹ ɐ s a ɾ ɐ̃ʊ̃ s ɨ
abraçará	ɐ b ɹ ɐ s ɐ ɾ a
abraçava	ɐ b ɹ ɐ s a v ɐ
abraçavam	ɐ b ɹ ɐ s a v ɐ̃ʊ̃
abraçavam-se	ɐ b ɹ ɐ s a v ɐ̃ʊ̃ s ɨ
abraço	ɐ b ɹ a s ʊ
abraços	ɐ b ɹ a s ʊ ʃ
abraçou	ɐ b ɹ ɐ s o w
abraçou-a	ɐ b ɹ ɐ s o w a
abraçou-me	ɐ b ɹ ɐ s o w m ɨ
abraçou-o	ɐ b ɹ ɐ s o w ɔ
abraçou-se	ɐ b ɹ ɐ s o w s ɨ
abraçá-la	ɐ b ɹ ɐ s a l ɐ
abraçá-lo	ɐ b ɹ ɐ s a l ʊ
abre	a b ɹ ɨ
abre-se	a b ɹ ɨ s ɨ
abrem	a b ɹ eɪ ŋ
abrem-se	a b ɹ eɪ ŋ s ɨ
abres	a b ɹ ɨ ʃ
abreu	ɐ b ɹ eʊ
abrevia	ɐ b ɹ ɨ v i ɐ
abreviada	ɐ b ɹ ɨ v i a d ɐ
abreviadamente	ɐ b ɹ ɨ v i ɐ d ɐ m eɪ ŋ t ɨ
abreviadas	ɐ b ɹ ɨ v i a d ɐ ʃ
abreviado	ɐ b ɹ ɨ v i a d ʊ
abreviam	ɐ b ɹ ɨ v i ɐ̃ʊ̃
abreviamos	ɐ b ɹ ɨ v i ɐ̃ m ʊ ʃ
abreviar	ɐ b ɹ ɨ v i a ɹ
abrevias	ɐ b ɹ ɨ v i ɐ ʃ
abreviasse	ɐ b ɹ ɨ v i a s ɨ
abreviatura	ɐ b ɹ ɨ v i ɐ t u ɾ ɐ
abreviação	ɐ b ɹ ɨ v i ɐ s ɐ̃ʊ̃
abreviemolo	ɐ b ɹ ɨ v i ɨ m ɔ l ʊ
abri	ɐ b ɹ i
abri-a	ɐ b ɹ i a
abri-la	ɐ b ɹ i l ɐ
abri-lo	ɐ b ɹ i l ʊ
abria	ɐ b ɹ i ɐ
abria-lhe	ɐ b ɹ i ɐ ʎ ɨ
abria-se	ɐ b ɹ i ɐ s ɨ
abriam	ɐ b ɹ i ɐ̃ʊ̃
abriam-se	ɐ b ɹ i ɐ̃ʊ̃ s ɨ
abriase	ɐ b ɹ i a z ɨ
abrideira	ɐ b ɹ i d eɪ ɾ ɐ
abriga	ɐ b ɹ i ɡ ɐ
abrigada	ɐ b ɹ i ɡ a d ɐ
abrigadas	ɐ b ɹ i ɡ a d ɐ ʃ
abrigado	ɐ b ɹ i ɡ a d ʊ
abrigados	ɐ b ɹ i ɡ a d ʊ ʃ
abrigal	ɐ b ɹ i ɡ ɑ l
abrigam	ɐ b ɹ i ɡ ɐ̃ʊ̃
abrigam-se	ɐ b ɹ i ɡ ɐ̃ʊ̃ s ɨ
abrigamos	ɐ b ɹ i ɡ ɐ̃ m ʊ ʃ
