'l	ɛ l l e
abbottonò	a bː o tː o n ɔ
abbozza	a bː ɔ tsː a
abbozzando	a bː o tsː a n d o
abbozzare	a bː o tsː a r e
abbozzata	a bː o tsː a t a
abbozzati	a bː o tsː a t ɪ
abbozzato	a bː o tsː a t o
abbozzava	a bː o tsː a v a
abbozzi	a bː ɔ tsː ɪ
abbozzo	a bː ɔ tsː o
abbozzò	a bː o tsː ɔ
abbraccciata	a bː r a kː tʃ a t a
abbracce	a bː r a tʃː e
abbracceràmi	a bː r a tʃː e r a m ɪ
abbracci	a bː r a tʃː ɪ
abbraccia	a bː r a tʃː a
abbracciai	a bː r a tʃː a j
abbracciamenti	a bː r a tʃː a m e n t ɪ
abbracciami	a bː r a tʃː a m ɪ
abbracciammo	a bː r a tʃː a m m o
abbracciamoci	a bː r a tʃː a m o tʃ ɪ
abbracciando	a bː r a tʃː a n d o
abbracciandogli	a bː r a tʃː a n d o ʎ ɪ
abbracciandola	a bː r a tʃː a n d o l a
abbracciandole	a bː r a tʃː a n d o l e
abbracciandolo	a bː r a tʃː a n d o l o
abbracciandomi	a bː r a tʃː a n d o m ɪ
abbracciano	a bː r a tʃː a n o
abbracciar	a bː r a tʃː a r
abbracciare	a bː r a tʃː a r e
abbracciarete	a bː r a tʃː a r e t e
abbracciarla	a bː r a tʃː a r l a
abbracciarle	a bː r a tʃː a r l e
abbracciarlo	a bː r a tʃː a r l o
abbracciarmi	a bː r a tʃː a r m ɪ
abbracciaro	a bː r a tʃː a r o
abbracciarono	a bː r a tʃː a r o n o
abbracciarsi	a bː r a tʃː a r s ɪ
abbracciarvi	a bː r a tʃː a r v ɪ
abbracciassero	a bː r a tʃː a ss e r o
abbracciata	a bː r a tʃː a t a
abbracciatala	a bː r a tʃː a t a l a
abbracciate	a bː r a tʃː a t e
abbracciateli	a bː r a tʃː a t e l ɪ
abbracciatemi	a bː r a tʃː a t e m ɪ
abbracciati	a bː r a tʃː a t ɪ
abbracciatisi	a bː r a tʃː a t i z ɪ
abbracciato	a bː r a tʃː a t o
abbracciava	a bː r a tʃː a v a
abbracciavalo	a bː r a tʃː a v a l o
abbracciavano	a bː r a tʃː a v a n o
abbraccio	a bː r a tʃː o
abbracciol	a bː r a tʃː o l
abbracciollo	a bː r a tʃː ɔ l l o
abbracciommi	a bː r a tʃː ɔ m m ɪ
abbracciorono	a bː r a tʃː ɔ r o n o
abbracciò	a bː r a tʃː ɔ
abbraceia	a bː r a tʃ ɛ i a
abbracian	a bː r a tʃ a n
abbraciatisi	a bː r a tʃ a t i z ɪ
abbranca	a bː r a n k a
abbrancare	a bː r a n k a r e
abbrancarono	a bː r a n k a r o n o
abbrancato	a bː r a n k a t o
abbrancatosi	a bː r a n k a t o z ɪ
abbrancava	a bː r a n k a v a
abbrancò	a bː r a n k ɔ
abbreviate	a bː r e v j a t e
abbreviato	a bː r e v j a t o
abbrezzare	a bː r e tsː a r e
abbrigliamento	a bː r i ʎ a m e n t o
abbrividendo	a bː r i v i d ɛ n d o
abbrividente	a bː r i v i d ɛ n t e
abbrividire	a bː r i v i d i r e
abbrividiva	a bː r i v i d i v a
abbronzate	a bː r o n dz a t e
abbronzati	a bː r o n dz a t ɪ
abbronzato	a bː r o n dz a t o
abbronzite	a bː r o n dz i t e
abbronzò	a bː r o n dz ɔ
abbrostolito	a bː r o s t o l i t o
abbruciacchiati	a bː r ʊ tʃ a kː j a t ɪ
abbruciacchiato	a bː r ʊ tʃ a kː j a t o
abbruciare	a bː r ʊ tʃ a r e
abbruciarono	a bː r ʊ tʃ a r o n o
abbruciati	a bː r ʊ tʃ a t ɪ
abbruciato	a bː r ʊ tʃ a t o
abbruciava	a bː r ʊ tʃ a v a
abbruciavano	a bː r ʊ tʃ a v a n o
abbruggiate	a bː r ʊ dʒː a t e
abbrunate	a bː r ʊ n a t e
abbruscia	a bː r u ʃ a
abbrusciare	a bː r ʊ ʃ a r e
abbrusciarete	a bː r ʊ ʃ a r e t e
abbrusciasse	a bː r ʊ ʃ a ss e
abbrusciava	a bː r ʊ ʃ a v a
abbruscierà	a bː r ʊ ʃ e ɾ a
abbrusciò	a bː r ʊ ʃ ɔ
abbrustiti	a bː r ʊ s t i t ɪ
abbrustolite	a bː r ʊ s t o l i t e
abbrustoliti	a bː r ʊ s t o l i t ɪ
abbrustolito	a bː r ʊ s t o l i t o
abbrustoliva	a bː r ʊ s t o l i v a
abbrutimenti	a bː r ʊ t i m e n t ɪ
abbrutimento	a bː r ʊ t i m e n t o
abbrutire	a bː r ʊ t i r e
abbrutirsi	a bː r ʊ t i r s ɪ
abbrutito	a bː r ʊ t i t o
abbuiata	a bː ʊ j a t a
abburattare	a bː ʊ r a tː a r e
abburattava	a bː ʊ r a tː a v a
abderiti	a b d e r i t ɪ
aberrati	a b e r ɾ a t ɪ
aberrato	a b e r ɾ a t o
aberrazione	a b e r ɾ a ts i o n e
aberrazioni	a b e r ɾ a ts i o n ɪ
abete	a b e t e
abeti	a b ɛ t ɪ
abhorre	a b ɔ r ɾ e
abido	a b i d o
abietto	a b j e tː o
abiezione	a b j e ts i o n e
abiezioni	a b j e ts i o n ɪ
abil	a b i l
abile	a b i l e
abili	a b i l ɪ
abilissimi	a b i l i ss i m ɪ
abilitandola	a b i l i t a n d o l a
abilitarlo	a b i l i t a r l o
abilitato	a b i l i t a t o
abilitava	a b i l i t a v a
abilità	a b i l i t a
abillo	a b i l l o
abilmente	a b i l m e n t e
abissi	a b i ss ɪ
abissini	a b i ss i n ɪ
abissino	a b i ss i n o
abisso	a b i ss o
abita	a b i t a
abitai	a b i t a j
abitando	a b i t a n d o
abitandovi	a b i t a n d o v ɪ
abitano	a b i t a n o
abitante	a b i t a n t e
abitanti	a b i t a n t ɪ
abitar	a b i t a r
abitare	a b i t a r e
abitarvi	a b i t a r v ɪ
abitasse	a b i t a ss e
abitassero	a b i t a ss e r o
abitata	a b i t a t a
abitate	a b i t a t e
abitati	a b i t a t ɪ
abitato	a b i t a t o
abitator	a b i t a t ɔ r
abitatore	a b i t a t o r e
abitatori	a b i t a t o r ɪ
abitatrice	a b i t a t r i tʃ e
abitatrici	a b i t a t r i tʃ ɪ
abitava	a b i t a v a
abitavamo	a b i t a v a m o
abitavano	a b i t a v a n o
abitazione	a b i t a ts i o n e
abitazioni	a b i t a ts i o n ɪ
abiterà	a b i t e ɾ a
abiti	a b i t ɪ
abitini	a b i t i n ɪ
abitino	a b i t i n o
abito	a b i t o
abitoiono	a b i t ɔ i o n o
abitorono	a b i t ɔ r o n o
abituale	a b i t ʊ a l e
abituali	a b i t ʊ a l ɪ
abitualmente	a b i t ʊ a l m e n t e
abituarsi	a b i t ʊ a r s ɪ
abituarti	a b i t ʊ a r t ɪ
abituata	a b i t ʊ a t a
abituate	a b i t ʊ a t e
abituati	a b i t ʊ a t ɪ
abituato	a b i t ʊ a t o
abitucci	a b i t u tʃː ɪ
abituccio	a b i t u tʃː o
abitudine	a b i t u d i n e
abitudini	a b i t u d i n ɪ
abituerete	a b i t ʊ e r e t e
abitui	a b i t ʊ i
abituiamo	a b i t ʊ j a m o
abituri	a b i t u r ɪ
abituro	a b i t u r o
abituò	a b i t ʊ ɔ
abitò	a b i t ɔ
abluzione	a b l ʊ ts i o n e
abluzioni	a b l ʊ ts i o n ɪ
abmes	a b m e s
abnegazione	a b n e ɡ a ts i o n e
abolendo	a b o l ɛ n d o
abolire	a b o l i r e
aboliti	a b o l i t ɪ
abolito	a b o l i t o
aboliva	a b o l i v a
abominazione	a b o m i n a ts i o n e
abomino	a b o m i n o
abominoso	a b o m i n o z o
abonda	a b o n d a
abondantissima	a b o n d a n t i ss i m a
abondantissime	a b o n d a n t i ss i m e
abondanza	a b o n d a n ts a
abondanzia	a b o n d a n ts i a
abondevole	a b o n d e v o l e
aborre	a b ɔ r ɾ e
aborrisco	a b o r ɾ i s k o
aborro	a b ɔ r ɾ o
aborti	a b ɔ r t ɪ
abortire	a b o r t i r e
abortito	a b o r t i t o
abortiva	a b o r t i v a
aborto	a b ɔ r t o
about	a b o ʊ t
abraam	a b r a a m
abramo	a b r a m o
abrupto	a b r u p t o
abrutis	a b r u t i s
abruzzese	a b r ʊ tsː e z e
abruzzi	a b r u tsː ɪ
abruzzo	a b r u tsː o
absenti	a b s ɛ n t ɪ
abundanzia	a b ʊ n d a n ts i a
abuon	a b u o n
abusa	a b u z a
abusare	a b ʊ z a r e
abusarne	a b ʊ z a r n e
abusarono	a b ʊ z a r o n o
abusate	a b ʊ z a t e
abusato	a b ʊ z a t o
abuserà	a b ʊ z e ɾ a
abusi	a b u z ɪ
abusivo	a b ʊ z i v o
abuso	a b u z o
acace	a k a tʃ e
acan	a k a n
accada	a kː a d a
accadde	a kː a dː e
accade	a kː a d e
accademia	a kː a d ɛ m i a
accademica	a kː a d ɛ m i k a
accademiche	a kː a d e m i k e
accademici	a kː a d ɛ m i tʃ ɪ
accademico	a kː a d ɛ m i k o
accademie	a kː a d e m i e
accader	a kː a d ɛ r
accadere	a kː a d e r e
accaderebbe	a kː a d e r ɛ bː e
accaderle	a kː a d ɛ r l e
accadesse	a kː a d ɛ ss e
accadette	a kː a d e tː e
accadeva	a kː a d ɛ v a
accadevano	a kː a d e v a n o
accadono	a kː a d o n o
accadrebbe	a kː a d r ɛ bː e
accadrà	a kː a d r a
accaduta	a kː a d u t a
accadute	a kː a d u t e
accaduti	a kː a d u t ɪ
accaduto	a kː a d u t o
accagionar	a kː a dʒ o n a r
accagioni	a kː a dʒ o n ɪ
accalappiar	a kː a l a pː j a r
accalappiare	a kː a l a pː j a r e
accalappiato	a kː a l a pː j a t o
accalca	a kː a l k a
accalcava	a kː a l k a v a
accalcavano	a kː a l k a v a n o
accaldata	a kː a l d a t a
accaldato	a kː a l d a t o
accalorandosi	a kː a l o r a n d o z ɪ
accalorato	a kː a l o r a t o
accalorava	a kː a l o r a v a
accaloravano	a kː a l o r a v a n o
accampa	a kː a m p a
accampamenti	a kː a m p a m e n t ɪ
accampamento	a kː a m p a m e n t o
accampano	a kː a m p a n o
accampanti	a kː a m p a n t ɪ
accampar	a kː a m p a r
accampare	a kː a m p a r e
accampato	a kː a m p a t o
accanimento	a kː a n i m e n t o
accanita	a kː a n i t a
accanitamente	a kː a n i t a m e n t e
accaniti	a kː a n i t ɪ
accanito	a kː a n i t o
accanto	a kː a n t o
accaparrarti	a kː a p a r ɾ a r t ɪ
accaparrata	a kː a p a r ɾ a t a
accapigliandosi	a kː a p i ʎ a n d o z ɪ
accapigliano	a kː a p i ʎ a n o
accapigliarsi	a kː a p i ʎ a r s ɪ
accapigliassero	a kː a p i ʎ a ss e r o
accapigliati	a kː a p i ʎ a t ɪ
accapigliato	a kː a p i ʎ a t o
accapo	a kː a p o
accappatojo	a kː a pː a t o j o
accapponar	a kː a pː o n a r
accapponare	a kː a pː o n a r e
accapponava	a kː a pː o n a v a
accapponavano	a kː a pː o n a v a n o
accapponò	a kː a pː o n ɔ
accareccia	a kː a r e tʃː a
accarecciarla	a kː a r e tʃː a r l a
accarecciata	a kː a r e tʃː a t a
accarecciato	a kː a r e tʃː a t o
accareccio	a kː a r e tʃː o
accarezza	a kː a r e tsː a
accarezzala	a kː a r e tsː a l a
accarezzando	a kː a r e tsː a n d o
accarezzandogli	a kː a r e tsː a n d o ʎ ɪ
accarezzandola	a kː a r e tsː a n d o l a
accarezzandole	a kː a r e tsː a n d o l e
accarezzandolo	a kː a r e tsː a n d o l o
accarezzandomi	a kː a r e tsː a n d o m ɪ
accarezzandosi	a kː a r e tsː a n d o z ɪ
accarezzarci	a kː a r e tsː a r tʃ ɪ
accarezzare	a kː a r e tsː a r e
accarezzargli	a kː a r e tsː a r ʎ ɪ
accarezzarla	a kː a r e tsː a r l a
accarezzarlo	a kː a r e tsː a r l o
accarezzarselo	a kː a r e tsː a r s e l o
accarezzata	a kː a r e tsː a t a
accarezzati	a kː a r e tsː a t ɪ
accarezzato	a kː a r e tsː a t o
accarezzava	a kː a r e tsː a v a
accarezzavano	a kː a r e tsː a v a n o
accarezzi	a kː a r e tsː ɪ
accarezzo	a kː a r e tsː o
accarezzò	a kː a r e tsː ɔ
accarno	a kː a r n o
accarrecciata	a kː a r ɾ e tʃː a t a
accartocciata	a kː a r t o tʃː a t a
accartocciate	a kː a r t o tʃː a t e
accasare	a kː a z a r e
accasarli	a kː a z a r l ɪ
accasarsi	a kː a z a r s ɪ
accasarti	a kː a z a r t ɪ
accasarvi	a kː a z a r v ɪ
accasati	a kː a z a t ɪ
accasciamento	a kː a ʃ a m e n t o
accasciarlo	a kː a ʃ a r l o
accasciata	a kː a ʃ a t a
accasciati	a kː a ʃ a t ɪ
accasciato	a kː a ʃ a t o
accasciò	a kː a ʃ ɔ
accatarrati	a kː a t a r ɾ a t ɪ
accatastando	a kː a t a s t a n d o
accatastandola	a kː a t a s t a n d o l a
accatastandoli	a kː a t a s t a n d o l ɪ
accatastare	a kː a t a s t a r e
accatastata	a kː a t a s t a t a
accatastate	a kː a t a s t a t e
accatastati	a kː a t a s t a t ɪ
accatastato	a kː a t a s t a t o
accatastava	a kː a t a s t a v a
accatta	a kː a tː a
accattando	a kː a tː a n d o
accattar	a kː a tː a r
accattoni	a kː a tː o n ɪ
accavalcandola	a kː a v a l k a n d o l a
accavalciando	a kː a v a l tʃ a n d o
accavalciano	a kː a v a l tʃ a n o
accavalciata	a kː a v a l tʃ a t a
accavalciavan	a kː a v a l tʃ a v a n
accavalcò	a kː a v a l k ɔ
accavallandosi	a kː a v a l l a n d o z ɪ
accavallarsi	a kː a v a l l a r s ɪ
accavallate	a kː a v a l l a t e
accavallava	a kː a v a l l a v a
accavallavano	a kː a v a l l a v a n o
accecamenti	a tʃː e k a m e n t ɪ
accecano	a tʃː e k a n o
accecante	a tʃː e k a n t e
accecanti	a tʃː e k a n t ɪ
accecare	a tʃː e k a r e
accecarlo	a tʃː e k a r l o
accecarmi	a tʃː e k a r m ɪ
accecarono	a tʃː e k a r o n o
accecasti	a tʃː e k a s t ɪ
accecata	a tʃː e k a t a
accecato	a tʃː e k a t o
accecava	a tʃː e k a v a
accechi	a tʃː e k ɪ
accecò	a tʃː e k ɔ
accedere	a tʃː e d e r e
accedeva	a tʃː e d ɛ v a
accelerando	a tʃː e l e r a n d o
accelerata	a tʃː e l e r a t a
accelerato	a tʃː e l e r a t o
accelerò	a tʃː e l e ɾ ɔ
accenda	a tʃː ɛ n d a
accende	a tʃː ɛ n d e
accendendo	a tʃː e n d ɛ n d o
accendendosi	a tʃː e n d e n d o z ɪ
accender	a tʃː ɛ n d e r
accenderan	a tʃː e n d ɛ r a n
accendere	a tʃː ɛ n d e r e
accenderebbe	a tʃː e n d e r ɛ bː e
accenderemo	a tʃː e n d e r ɛ m o
accendergli	a tʃː ɛ n d e r ʎ ɪ
accenderla	a tʃː ɛ n d e r l a
accenderle	a tʃː ɛ n d e r l e
accenderlo	a tʃː ɛ n d e r l o
accendermi	a tʃː ɛ n d e r m ɪ
accendersi	a tʃː ɛ n d e r s ɪ
accendervi	a tʃː ɛ n d e r v ɪ
accenderà	a tʃː e n d e ɾ a
accendesse	a tʃː e n d ɛ ss e
accendessero	a tʃː e n d e ss e r o
accendete	a tʃː e n d e t e
accendetemi	a tʃː e n d e t e m ɪ
accendeva	a tʃː e n d ɛ v a
accendevano	a tʃː e n d e v a n o
accendi	a tʃː ɛ n d ɪ
accendiamo	a tʃː e n d j a m o
accendo	a tʃː ɛ n d o
accendono	a tʃː e n d o n o
accenna	a tʃː e n n a
accennai	a tʃː e n n a j
accennando	a tʃː e n n a n d o
accennandogli	a tʃː e n n a n d o ʎ ɪ
accennandola	a tʃː e n n a n d o l a
accennandole	a tʃː e n n a n d o l e
accennar	a tʃː e n n a r
accennare	a tʃː e n n a r e
accennargli	a tʃː e n n a r ʎ ɪ
accennarono	a tʃː e n n a r o n o
accennarvela	a tʃː e n n a r v e l a
accennarvi	a tʃː e n n a r v ɪ
accennata	a tʃː e n n a t a
accennate	a tʃː e n n a t e
accennato	a tʃː e n n a t o
accennava	a tʃː e n n a v a
accennavano	a tʃː e n n a v a n o
accennavo	a tʃː e n n a v o
accennerò	a tʃː e n n e ɾ ɔ
accenni	a tʃː e n n ɪ
accenniamo	a tʃː e n n j a m o
accenno	a tʃː e n n o
accennolle	a tʃː e n n ɔ l l e
accennò	a tʃː e n n ɔ
accense	a tʃː ɛ n s e
accensi	a tʃː ɛ n s ɪ
accenti	a tʃː ɛ n t ɪ
accento	a tʃː ɛ n t o
accentrare	a tʃː e n t r a r e
accentua	a tʃː e n t ʊ a
accentuando	a tʃː e n t ʊ a n d o
accentuato	a tʃː e n t ʊ a t o
accentuavano	a tʃː e n t ʊ a v a n o
accerchia	a tʃː ɛ r k i a
accerchiata	a tʃː e r k j a t a
accerchiato	a tʃː e r k j a t o
accerchiò	a tʃː e r k j ɔ
accertamenti	a tʃː e r t a m e n t ɪ
accertar	a tʃː e r t a r
accertare	a tʃː e r t a r e
accertarmene	a tʃː e r t a r m e n e
accertarmi	a tʃː e r t a r m ɪ
accertarsene	a tʃː e r t a r s e n e
accertarsi	a tʃː e r t a r s ɪ
accertata	a tʃː e r t a t a
accertato	a tʃː e r t a t o
accerto	a tʃː ɛ r t o
accesa	a tʃː e z a
accese	a tʃː e z e
accesero	a tʃː e z e r o
accesi	a tʃː e z ɪ
acceso	a tʃː e z o
accessi	a tʃː ɛ ss ɪ
accessibile	a tʃː e ss i b i l e
accessibili	a tʃː e ss i b i l ɪ
accesso	a tʃː ɛ ss o
accessorii	a tʃː e ss o r ɪː j
accessorio	a tʃː e ss ɔ r i o
accetta	a tʃː e tː a
accettabile	a tʃː e tː a b i l e
accettai	a tʃː e tː a j
accettando	a tʃː e tː a n d o
accettandola	a tʃː e tː a n d o l a
accettandoli	a tʃː e tː a n d o l ɪ
accettandone	a tʃː e tː a n d o n e
accettano	a tʃː e tː a n o
accettante	a tʃː e tː a n t e
accettar	a tʃː e tː a r
accettare	a tʃː e tː a r e
accettarete	a tʃː e tː a r e t e
