а	ɑ
акмеист	a k mʲ i i s t
аксай	ɑ k s ʌ j
аксаков	a k s ɑ k ʌ f
аксаковы	a k s ɑ k ʌ v y
аксаю	a k s ɑ ju
аксельбантами	a k sʲ i ɭ b ɑ n t ʌ mʲ ɪ
аксессуарами	a k sʲ i s s u ɑ r ʌ mʲ ɪ
аксессуарах	a k sʲ i s s u ʌ r ʌ x
аксессуаров	a k sʲ i s s u ɑ r ʌ f
аксинья	a k sʲ i n j ja
акт	ɑ k t
акта	ɑ k t a
акте	ɑ k tʲ i
актер	a k tʲ e r
актера	a k tʲ e r a
актеров	a k tʲ e r ʌ f
актеру	a k tʲ e r u
актеры	a k tʲ e r y
активно	a k tʲ i v n ʌ
активное	a k tʲ i v n ʌ j ɪ
активной	a k tʲ i v n ʌ j
активности	a k tʲ i v n ʌ sʲ tʲ ɪ
активную	a k tʲ i v n u ju
активных	a k tʲ i v n y x
актом	ɑ k t ʌ m
актриса	a k t rʲ i s a
актрисой	a k t rʲ i s ʌ j
актрису	a k t rʲ i s u
актрисы	a k t rʲ i s y
акула	a k u ɭ a
акулина	a k u ɭʲ i n a
акулине	a k u ɭʲ i nʲ i
акулиной	a k u ɭʲ i n ʌ j
акулину	a k u ɭʲ i n u
акулины	a k u ɭʲ i n y
акулы	a k u ɭ y
акулька	a k u ɭ k a
акцент	a k ts ɛ n t
акцента	a k ts ɛ n t a
акцентируя	a k ts y n tʲ i r u ja
акцентом	a k ts ɛ n t ʌ m
акций	ɑ k ts y j
ала	ɑ ɭ a
албан	ɑ ɭ b ʌ n
алгебраическими	a ɭ ɡʲ i b r a i tʃʲ i s kʲ i mʲ ɪ
алгебре	ɑ ɭ ɡʲ i b rʲ i
алгебру	ɑ ɭ ɡʲ i b r u
алгебры	ɑ ɭ ɡʲ i b r y
алебастра	a ɭʲ i b ɑ s t r a
алей	a ɭʲ e j
алеко	a ɭʲ e k ʌ
александр	a ɭʲ i k s ɑ n d r
александра	a ɭʲ i k s ɑ n d r a
александре	a ɭʲ i k s ɑ n d rʲ i
александрии	a ɭʲ i k s a n d rʲ i ɪ
александровна	a ɭʲ i k s ɑ n d r ʌ v n a
александровне	a ɭʲ i k s ɑ n d r ʌ v nʲ i
александровной	a ɭʲ i k s ɑ n d r ʌ v n ʌ j
александровну	a ɭʲ i k s ɑ n d r ʌ v n u
александровны	a ɭʲ i k s ɑ n d r ʌ v n y
александровского	a ɭʲ i k s ɑ n d r ʌ f s k ʌ v ʌ
александровской	a ɭʲ i k s ɑ n d r ʌ f s k ʌ j
александровскую	a ɭʲ i k s ɑ n d r ʌ f s k u ju
александром	a ɭʲ i k s ɑ n d r ʌ m
александру	a ɭʲ i k s ɑ n d r u
александры	a ɭʲ i k s ɑ n d r y
александрыч	a ɭʲ i k s ɑ n d r y tʃʲ
алексеев	a ɭʲ i k sʲ e j i f
алексеева	a ɭʲ i k sʲ e j i v a
алексеевку	a ɭʲ i k sʲ e j i f k u
алексеевне	a ɭʲ i k sʲ e j i v nʲ i
алексеевто	a ɭʲ i k sʲ e j i f t ʌ
алексеем	a ɭʲ i k sʲ e j i m
алексей	a ɭʲ i k sʲ e j
алексею	a ɭʲ i k sʲ e ju
алексея	a ɭʲ i k sʲ e ja
алексинский	a ɭʲ i k sʲ i n s kʲ i j
алел	a ɭʲ e ɭ
алене	a ɭʲ e nʲ i
алехин	a ɭʲ e x i n
алеша	a ɭʲ e ʃ a
алеше	a ɭʲ e ʃ y
алешей	a ɭʲ e ʃ y j
алеши	a ɭʲ e ʃ ɪ
алешка	a ɭʲ e ʃ k a
алешку	a ɭʲ e ʃ k u
алеют	a ɭʲ e ju t
али	ɑ ɭʲ ɪ
алискана	a ɭʲ i s k ʌ n a
алитераций	a ɭʲ i tʲ e r ʌ ts y j
алкала	a ɭ k ɑ ɭ a
алкало	a ɭ k ɑ ɭ ʌ
алканья	a ɭ k ɑ n j ja
алкид	a ɭ kʲ i t
аллегоризму	a ɭ ɭʲ i ɡ o rʲ i z m u
аллегории	a ɭ ɭʲ i ɡ o rʲ i ɪ
аллегориста	a ɭ ɭʲ i ɡ o rʲ i s t a
аллегоричностью	a ɭ ɭʲ i ɡ o rʲ i tʃʲ n ʌ s tʲ j ju
аллее	a ɭ ɭʲ e j ɪ
аллеи	a ɭ ɭʲ e ɪ
аллей	a ɭ ɭʲ e j
аллею	a ɭ ɭʲ e ju
аллея	a ɭ ɭʲ e ja
аллеям	a ɭ ɭʲ e ja m
аллеями	a ɭ ɭʲ e ja mʲ ɪ
алмазами	a ɭ m ɑ z ʌ mʲ ɪ
алмазах	a ɭ m ɑ z ʌ x
алмазная	a ɭ m ɑ z n ʌ ja
алмазные	a ɭ m ɑ z n y j ɪ
алмазными	a ɭ m ɑ z n y mʲ ɪ
алмазов	a ɭ m ɑ z ʌ f
алмазом	a ɭ m ɑ z ʌ m
алмазы	a ɭ m ɑ z y
алогическая	a ɭ ʌ ɡʲ i tʃʲ i s k ʌ ja
алого	ɑ ɭ ʌ v ʌ
алой	ɑ ɭ ʌ j
алости	a ɭ o sʲ tʲ ɪ
алоэ	a ɭ o ɛ
алтаре	a ɭ t a rʲ e
алтарем	a ɭ t a rʲ e m
алтарь	a ɭ t ɑ r ɪ^
алтарю	a ɭ t a rʲ u"
алтаря	a ɭ t a rʲ ɑ
алтарям	a ɭ t ɑ rʲ ʌ m
алую	ɑ ɭ u ju
алфавитом	a ɭ f a vʲ i t ʌ m
алча	ɑ ɭ tʃʲ ʌ
алчно	ɑ ɭ tʃʲ n ʌ
алчной	ɑ ɭ ʃ n ʌ j
алчности	ɑ ɭ tʃʲ n ʌ sʲ tʲ ɪ
алчность	ɑ ɭ tʃʲ n ʌ s tʲ
алчные	ɑ ɭ tʃʲ n y j ɪ
алые	ɑ ɭ y j ɪ
алый	ɑ ɭ y j
алым	ɑ ɭ y m
алыми	ɑ ɭ y mʲ ɪ
алых	ɑ ɭ y x
аль	ɑ ɭ
альбана	a ɭ b ɑ n a
альбатросов	a ɭ b a t r o s ʌ f
альбиона	a ɭ bʲ i o n a
альбом	a ɭ b o m
альбома	a ɭ b o m a
альбоме	a ɭ b o mʲ i
альбомов	a ɭ b o m ʌ f
альбомы	a ɭ b o m y
альджанеско	a ɭ d ʒ ɑ nʲ i s k ʌ
алькова	a ɭ k o v a
альмавива	a ɭ m ɑ vʲ i v a
альмавивой	a ɭ m a vʲ i v ʌ j
альмавивы	a ɭ m a vʲ i v y
альманаха	a ɭ m a n ɑ x a
альманахе	a ɭ m a n ɑ x i
альпах	ɑ ɭ p ʌ x
альпийская	a ɭ pʲ i j s k ʌ ja
альпийские	a ɭ pʲ i j s kʲ i j ɪ
альпийских	a ɭ pʲ i j s kʲ i x
альрашиду	a ɭ r ɑ ʃ y d u
альтернатива	a ɭ tʲ i r n a tʲ i v a
альтруизм	a ɭ t r u i z m
альтруизма	a ɭ t r u i z m a
альтруист	a ɭ t r u i s t
альтруистическим	a ɭ t r u i sʲ tʲ i tʃʲ i s kʲ i m
альтруистического	a ɭ t r u i sʲ tʲ i tʃʲ i s k ʌ v ʌ
альтруистическое	a ɭ t r u i sʲ tʲ i tʃʲ i s k ʌ j ɪ
альфа	ɑ ɭ f a
альфой	ɑ ɭ f ʌ j
альфу	ɑ ɭ f u
аляповатости	a ɭʲ a p o v ʌ t ʌ sʲ tʲ ɪ
аляповатые	a ɭʲ ʌ p ʌ v ɑ t y j ɪ
амазонка	a m a z o n k a
амазонке	a m a z o n kʲ i
амазонок	a m a z o n ʌ k
амальгаму	a m a ɭ ɡ ɑ m u
амбар	a m b ɑ r
амбара	a m b ɑ r a
амбаром	a m b ɑ r ʌ m
амбарчик	a m b ɑ r tʃʲ i k
амбары	a m b ɑ r y
амбре	ɑ m b rʲ i
амброзию	a m b r o ʑ i ju
амбулатории	a m b u ɭ a t o rʲ i ɪ
америк	a mʲ e rʲ i k
америка	a mʲ e rʲ i k a
американец	a mʲ i rʲ i k ɑ nʲ i ts
американская	a mʲ i rʲ i k ɑ n s k ʌ ja
американский	a mʲ i rʲ i k ɑ n s kʲ i j
американских	a mʲ i rʲ i k ɑ n s kʲ i x
американской	a mʲ i rʲ i k ɑ n s k ʌ j
американце	a mʲ i rʲ i k ʌ n ts y
америке	a mʲ e rʲ i kʲ i
америки	a mʲ e rʲ i kʲ ɪ
америкой	a mʲ e rʲ i k ʌ j
америку	a mʲ e rʲ i k u
аминь	a mʲ i n
аммона	a m m o n a
амнистировал	a m nʲ i sʲ tʲ i r ʌ v ʌ ɭ
аморализм	a m ʌ r ɑ ɭʲ i z m
амстердаме	a m sʲ tʲ i r d ɑ mʲ i
амулетов	a m u ɭʲ e t ʌ f
амулеты	a m u ɭʲ e t y
амуницию	a m u nʲ i ts y ju
амуниция	a m u nʲ i ts y ja
амур	a m u r
амура	a m u r a
амурные	a m u r n y j ɪ
амуров	a m u r ʌ f
амуром	a m u r ʌ m
амуры	a m u r y
амфитеатром	a mʲ fʲ i tʲ i ɑ t r ʌ m
ан	ɑ n
анализ	a n ɑ ɭʲ i s
анализа	a n ɑ ɭʲ i z a
анализе	a n ɑ ɭʲ i ʑ i
анализировал	a n ʌ ɭʲ i ʑ i r ʌ v ʌ ɭ
анализировать	a n ʌ ɭʲ i ʑ i r ʌ v ʌ tʲ
анализирующего	a n ʌ ɭʲ i ʑ i r u ju ɕ i v ʌ
анализируя	a n ʌ ɭʲ i ʑ i r u ja
анализом	a n ɑ ɭʲ i z ʌ m
анализу	a n ɑ ɭʲ i z u
аналогии	a n a ɭ o ɡʲ i ɪ
аналогий	a n a ɭ o ɡʲ i j
аналогична	a n ʌ ɭ ʌ ɡʲ i ʃ n a
аналогичного	a n ʌ ɭ ʌ ɡʲ i tʃʲ n ʌ v ʌ
аналогичные	a n ʌ ɭ ʌ ɡʲ i tʃʲ n y j ɪ
аналогичных	a n ʌ ɭ ʌ ɡʲ i tʃʲ n y x
аналой	a n a ɭ o j
аналоя	a n a ɭ o ja
ананас	a n a n ɑ s
ананасы	a n a n ɑ s y
анапе	a n ɑ pʲ i
анархизм	a n a r x i z m
анархизма	a n a r x i z m a
анархизме	a n ɑ r x i z mʲ i
анархизмом	a n a r x i z m ʌ m
анархии	a n ɑ r x i ɪ
анархист	a n a r x i s t
анархистов	a n a r x i s t ʌ f
анархисты	a n ɑ r x i s t y
анархических	a n a r x i tʃʲ i s kʲ i x
анархическое	a n a r x i tʃʲ i s k ʌ j ɪ
анархическом	a n a r x i tʃʲ i s k ʌ m
анархия	a n ɑ r x i ja
анатомии	a n a t o mʲ i ɪ
анатомировать	a n ʌ t ʌ mʲ i r ʌ v ʌ tʲ
анатомирует	a n ʌ t ʌ mʲ i r u j i t
анатомический	a n ʌ t ʌ mʲ i tʃʲ i s kʲ i j
анатомических	a n ʌ t ʌ mʲ i tʃʲ i s kʲ i x
анатомического	a n ʌ t ʌ mʲ i tʃʲ i s k ʌ v ʌ
анатомию	a n a t o mʲ i ju
анатомия	a n a t o mʲ i ja
анатэма	a n ɑ t ɛ m a
анатэме	a n ɑ t ɛ mʲ i
анатэмы	a n ɑ t ɛ m y
анафема	a n ɑ fʲ i m a
анафемой	a n a fʲ e m ʌ j
анафемы	a n ɑ fʲ i m y
анахоретом	a n a x o rʲ i t ʌ m
анахронизмом	a n ʌ x r ʌ nʲ i z m ʌ m
анбар	ɑ n b ʌ r
ангажирован	a n ɡ a ʒ y r ʌ v ʌ n
ангел	ɑ n ɡʲ i ɭ
ангела	ɑ n ɡʲ i ɭ a
ангелами	ɑ n ɡʲ i ɭ ʌ mʲ ɪ
ангелехранителе	a n ɡʲ i ɭʲ i x r ɑ nʲ i tʲ i ɭʲ i
ангелов	ɑ n ɡʲ i ɭ ʌ f
ангеломхранителем	a n ɡʲ i ɭ ʌ m x r a nʲ i tʲ i ɭʲ i m
ангелочек	a n ɡʲ i ɭ o tʃʲ i k
ангелочков	a n ɡʲ i ɭ o tʃʲ k ʌ f
ангелу	ɑ n ɡʲ i ɭ u
ангелутешитель	a n ɡʲ i ɭ u tʲ e ʃ y tʲ i ɭ
ангелхранитель	a n ɡʲ i ɭ x r a nʲ i tʲ i ɭ
ангелы	ɑ n ɡʲ i ɭ y
ангелыхранители	a n ɡʲ i ɭ y x r ɑ nʲ i tʲ i ɭʲ ɪ
ангельская	ɑ n ɡʲ i ɭ s k ʌ ja
ангельский	ɑ n ɡʲ i ɭ s kʲ i j
ангельским	ɑ n ɡʲ i ɭ s kʲ i m
ангельских	ɑ n ɡʲ i ɭ s kʲ i x
ангельского	ɑ n ɡʲ i ɭ s k ʌ v ʌ
ангельской	ɑ n ɡʲ i ɭ s k ʌ j
англии	ɑ n ɡ ɭʲ i ɪ
английская	a n ɡ ɭʲ i j s k ʌ ja
английские	a n ɡ ɭʲ i j s kʲ i j ɪ
английский	a n ɡ ɭʲ i j s kʲ i j
английским	a n ɡ ɭʲ i j s kʲ i m
английскими	a n ɡ ɭʲ i j s kʲ i mʲ ɪ
английских	a n ɡ ɭʲ i j s kʲ i x
английского	a n ɡ ɭʲ i j s k ʌ v ʌ
английское	a n ɡ ɭʲ i j s k ʌ j ɪ
английской	a n ɡ ɭʲ i j s k ʌ j
английском	a n ɡ ɭʲ i j s k ʌ m
английскому	a n ɡ ɭʲ i j s k ʌ m u
английскую	a n ɡ ɭʲ i j s k u ju
англичан	a n ɡ ɭʲ i tʃʲ ɑ n
англичане	a n ɡ ɭʲ i tʃʲ ɑ nʲ i
англичанин	a n ɡ ɭʲ i tʃʲ ɑ nʲ i n
англичанина	a n ɡ ɭʲ i tʃʲ ɑ nʲ i n a
англичанине	a n ɡ ɭʲ i tʃʲ ɑ nʲ i nʲ i
англичанка	a n ɡ ɭʲ i tʃʲ ɑ n k a
англичанке	a n ɡ ɭʲ i tʃʲ ɑ n kʲ i
англичанок	a n ɡ ɭʲ i tʃʲ ɑ n ʌ k
